sale_id,date,store_channel,payment_method,product_id,product_name,category,sub_category,quantity_sold,unit_price,discount_pct,discount_amount,total_sale,cost_total,gross_profit,customer_id,is_promotion,is_returned,net_profit,year,quarter,month_num,month_name,day_of_week,is_weekend,days_since_start,profit_margin_pct,revenue_per_unit,break_even_sale,profitability,season,catalogue_margin_pct,is_winter,is_summer,cost_price,margin_erosion
S00033,2024-01-02,Physical,Debit Card,P020,Unisex Cap,All,Accessories,1,14.99,20,3.0,11.99,4.0,7.99,C150,True,False,7.99,2024,1,1,Jan,Tuesday,False,1,66.64,11.99,False,Very High,All,73.3,True,True,4.0,6.66
S00034,2024-01-02,Physical,Debit Card,P024,Men's Swim Shorts,Men,Swimwear,2,29.99,10,6.0,53.98,20.0,33.98,C090,True,False,33.98,2024,1,1,Jan,Tuesday,False,1,62.95,26.99,False,Very High,Summer,66.7,False,True,10.0,3.75
S00035,2024-01-02,Physical,Cash,P012,Women's Skinny Jeans,Women,Pants,1,54.99,15,8.25,46.74,20.0,26.74,C107,True,False,26.74,2024,1,1,Jan,Tuesday,False,1,57.21,46.74,False,High,All,63.6,True,True,20.0,6.39
S00036,2024-01-02,Physical,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,2,9.99,10,2.0,17.98,5.0,12.98,C062,True,False,12.98,2024,1,1,Jan,Tuesday,False,1,72.19,8.99,False,Very High,All,75.0,True,True,2.5,2.81
S00037,2024-01-02,Online,Debit Card,P010,Women's Blouse,Women,Top,2,34.99,10,7.0,62.98,24.0,38.98,Guest,True,False,38.98,2024,1,1,Jan,Tuesday,False,1,61.89,31.49,False,Very High,All,65.7,True,True,12.0,3.81
S00038,2024-01-02,Physical,Credit Card,P001,Men's Basic T-shirt,Men,Shirt,2,19.99,10,4.0,35.98,14.0,21.98,C094,True,False,21.98,2024,1,1,Jan,Tuesday,False,1,61.09,17.99,False,Very High,All,65.0,True,True,7.0,3.91
S00039,2024-01-02,Online,Debit Card,P006,Men's Puffer Jacket,Men,Jacket,3,89.99,10,27.0,242.97,105.0,137.97,C168,True,False,137.97,2024,1,1,Jan,Tuesday,False,1,56.78,80.99,False,High,Winter,61.1,True,False,35.0,4.32
S00040,2024-01-02,Online,PayPal,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,10,1.0,8.99,2.5,6.49,C074,True,False,6.49,2024,1,1,Jan,Tuesday,False,1,72.19,8.99,False,Very High,All,75.0,True,True,2.5,2.81
S00041,2024-01-02,Online,PayPal,P009,Women's Casual Dress,Women,Dress,1,44.99,15,6.75,38.24,16.0,22.24,C190,True,False,22.24,2024,1,1,Jan,Tuesday,False,1,58.16,38.24,False,High,All,64.4,True,True,16.0,6.24
S00042,2024-01-02,Online,Debit Card,P023,Canvas Tote Bag,All,Accessories,2,24.99,10,5.0,44.98,16.0,28.98,C197,True,False,28.98,2024,1,1,Jan,Tuesday,False,1,64.43,22.49,False,Very High,All,68.0,True,True,8.0,3.57
S00043,2024-01-02,Online,Debit Card,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C093,True,False,9.49,2024,1,1,Jan,Tuesday,False,1,70.35,13.49,False,Very High,All,73.3,True,True,4.0,2.95
S00044,2024-01-02,Online,Credit Card,P009,Women's Casual Dress,Women,Dress,2,44.99,10,9.0,80.98,32.0,48.98,C057,True,False,48.98,2024,1,1,Jan,Tuesday,False,1,60.48,40.49,False,Very High,All,64.4,True,True,16.0,3.92
S00045,2024-01-02,Physical,Mobile Pay,P005,Men's Hoodie,Men,Jacket,1,59.99,15,9.0,50.99,22.0,28.99,C077,True,False,28.99,2024,1,1,Jan,Tuesday,False,1,56.85,50.99,False,High,Winter,63.3,True,False,22.0,6.45
S00046,2024-01-02,Online,Credit Card,P025,Women's Swimsuit,Women,Swimwear,3,44.99,5,6.75,128.22,48.0,80.22,C106,True,False,80.22,2024,1,1,Jan,Tuesday,False,1,62.56,42.74,False,Very High,Summer,64.4,False,True,16.0,1.84
S00047,2024-01-02,Online,Mobile Pay,P020,Unisex Cap,All,Accessories,3,14.99,5,2.25,42.72,12.0,30.72,C194,True,True,0.0,2024,1,1,Jan,Tuesday,False,1,0.0,14.24,True,Loss/Break-even,All,73.3,True,True,4.0,73.3
S00048,2024-01-02,Physical,Debit Card,P001,Men's Basic T-shirt,Men,Shirt,2,19.99,10,4.0,35.98,14.0,21.98,C164,True,False,21.98,2024,1,1,Jan,Tuesday,False,1,61.09,17.99,False,Very High,All,65.0,True,True,7.0,3.91
S00049,2024-01-02,Online,Debit Card,P020,Unisex Cap,All,Accessories,5,14.99,10,7.5,67.45,20.0,47.45,C161,True,False,47.45,2024,1,1,Jan,Tuesday,False,1,70.35,13.49,False,Very High,All,73.3,True,True,4.0,2.95
S00050,2024-01-02,Physical,Cash,P005,Men's Hoodie,Men,Jacket,2,59.99,5,6.0,113.98,44.0,69.98,C028,True,False,69.98,2024,1,1,Jan,Tuesday,False,1,61.4,56.99,False,Very High,Winter,63.3,True,False,22.0,1.9
S00051,2024-01-02,Physical,Debit Card,P005,Men's Hoodie,Men,Jacket,2,59.99,5,6.0,113.98,44.0,69.98,C051,True,False,69.98,2024,1,1,Jan,Tuesday,False,1,61.4,56.99,False,Very High,Winter,63.3,True,False,22.0,1.9
S00052,2024-01-02,Physical,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,3,54.99,10,16.5,148.47,60.0,88.47,C129,True,False,88.47,2024,1,1,Jan,Tuesday,False,1,59.59,49.49,False,High,All,63.6,True,True,20.0,4.01
S00053,2024-01-02,Online,Mobile Pay,P022,Leather Belt,All,Accessories,1,19.99,5,1.0,18.99,6.0,12.99,Guest,True,False,12.99,2024,1,1,Jan,Tuesday,False,1,68.4,18.99,False,Very High,All,70.0,True,True,6.0,1.6
S00054,2024-01-02,Online,PayPal,P013,Women's Hoodie,Women,Jacket,1,59.99,10,6.0,53.99,22.0,31.99,C111,True,False,31.99,2024,1,1,Jan,Tuesday,False,1,59.25,53.99,False,High,Winter,63.3,True,False,22.0,4.05
S00055,2024-01-02,Physical,Credit Card,P023,Canvas Tote Bag,All,Accessories,3,24.99,15,11.25,63.72,24.0,39.72,C021,True,False,39.72,2024,1,1,Jan,Tuesday,False,1,62.34,21.24,False,Very High,All,68.0,True,True,8.0,5.66
S00056,2024-01-02,Online,Credit Card,P009,Women's Casual Dress,Women,Dress,4,44.99,0,0.0,179.96,64.0,115.96,C170,True,False,115.96,2024,1,1,Jan,Tuesday,False,1,64.44,44.99,False,Very High,All,64.4,True,True,16.0,-0.04
S00057,2024-01-02,Physical,Mobile Pay,P015,Women's Cardigan,Women,Top,3,49.99,5,7.5,142.47,54.0,88.47,C171,True,False,88.47,2024,1,1,Jan,Tuesday,False,1,62.1,47.49,False,Very High,Winter,64.0,True,False,18.0,1.9
S00058,2024-01-02,Physical,Mobile Pay,P014,Women's Puffer Jacket,Women,Jacket,2,84.99,15,25.5,144.48,64.0,80.48,C058,True,False,80.48,2024,1,1,Jan,Tuesday,False,1,55.7,72.24,False,High,Winter,62.3,True,False,32.0,6.6
S00059,2024-01-02,Online,Mobile Pay,P006,Men's Puffer Jacket,Men,Jacket,2,89.99,10,18.0,161.98,70.0,91.98,C153,True,False,91.98,2024,1,1,Jan,Tuesday,False,1,56.78,80.99,False,High,Winter,61.1,True,False,35.0,4.32
S00060,2024-01-02,Online,Credit Card,P010,Women's Blouse,Women,Top,3,34.99,10,10.5,94.47,36.0,58.47,C055,True,False,58.47,2024,1,1,Jan,Tuesday,False,1,61.89,31.49,False,Very High,All,65.7,True,True,12.0,3.81
S00061,2024-01-02,Online,Credit Card,P010,Women's Blouse,Women,Top,1,34.99,10,3.5,31.49,12.0,19.49,C182,True,False,19.49,2024,1,1,Jan,Tuesday,False,1,61.89,31.49,False,Very High,All,65.7,True,True,12.0,3.81
S00062,2024-01-02,Online,Debit Card,P022,Leather Belt,All,Accessories,2,19.99,5,2.0,37.98,12.0,25.98,C030,True,False,25.98,2024,1,1,Jan,Tuesday,False,1,68.4,18.99,False,Very High,All,70.0,True,True,6.0,1.6
S00063,2024-01-02,Physical,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,1,54.99,10,5.5,49.49,20.0,29.49,C088,True,False,29.49,2024,1,1,Jan,Tuesday,False,1,59.59,49.49,False,High,All,63.6,True,True,20.0,4.01
S00064,2024-01-02,Online,Debit Card,P018,Kids Jacket,Kids,Jacket,2,44.99,10,9.0,80.98,32.0,48.98,C190,True,False,48.98,2024,1,1,Jan,Tuesday,False,1,60.48,40.49,False,Very High,Winter,64.4,True,False,16.0,3.92
S00065,2024-01-02,Online,Mobile Pay,P004,Men's Chino Pants,men,Pants,1,44.99,10,4.5,40.49,15.0,25.49,C045,True,False,25.49,2024,1,1,Jan,Tuesday,False,1,62.95,40.49,False,Very High,All,66.7,True,True,15.0,3.75
S00066,2024-01-02,Online,Credit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,10,12.0,107.98,44.0,63.98,Guest,True,False,63.98,2024,1,1,Jan,Tuesday,False,1,59.25,53.99,False,High,Winter,63.3,True,False,22.0,4.05
S00067,2024-01-02,Physical,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,4,89.99,15,53.99,305.97,140.0,165.97,C070,True,False,165.97,2024,1,1,Jan,Tuesday,False,1,54.24,76.49,False,High,Winter,61.1,True,False,35.0,6.86
S00068,2024-01-02,Online,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,5,4.5,85.49,35.0,50.49,C006,True,False,50.49,2024,1,1,Jan,Tuesday,False,1,59.06,85.49,False,High,Winter,61.1,True,False,35.0,2.04
S00069,2024-01-02,Physical,Credit Card,P020,Unisex Cap,All,Accessories,3,14.99,20,8.99,35.98,12.0,23.98,C011,True,False,23.98,2024,1,1,Jan,Tuesday,False,1,66.65,11.99,False,Very High,All,73.3,True,True,4.0,6.65
S00070,2024-01-02,Physical,Credit Card,P012,Women's Skinny Jeans,Women,Pants,1,54.99,5,2.75,52.24,20.0,32.24,C101,True,False,32.24,2024,1,1,Jan,Tuesday,False,1,61.72,52.24,False,Very High,All,63.6,True,True,20.0,1.88
S00071,2024-01-02,Online,Credit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,5,6.0,113.98,44.0,69.98,C048,True,False,69.98,2024,1,1,Jan,Tuesday,False,1,61.4,56.99,False,Very High,Winter,63.3,True,False,22.0,1.9
S00072,2024-01-02,Physical,Debit Card,P012,Women's Skinny Jeans,Women,Pants,1,54.99,15,8.25,46.74,20.0,26.74,C199,True,False,26.74,2024,1,1,Jan,Tuesday,False,1,57.21,46.74,False,High,All,63.6,True,True,20.0,6.39
S00073,2024-01-02,Physical,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,1,54.99,20,11.0,43.99,20.0,23.99,C075,True,False,23.99,2024,1,1,Jan,Tuesday,False,1,54.54,43.99,False,High,All,63.6,True,True,20.0,9.06
S00074,2024-01-02,Online,Mobile Pay,P005,Men's Hoodie,Men,Jacket,1,59.99,10,6.0,53.99,22.0,31.99,C006,True,False,31.99,2024,1,1,Jan,Tuesday,False,1,59.25,53.99,False,High,Winter,63.3,True,False,22.0,4.05
S00075,2024-01-03,Physical,Credit Card,P014,Women's Puffer Jacket,Women,Jacket,3,84.99,10,25.5,229.47,96.0,133.47,C002,True,False,133.47,2024,1,1,Jan,Wednesday,False,2,58.16,76.49,False,High,Winter,62.3,True,False,32.0,4.14
S00076,2024-01-03,Online,Debit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,20,24.0,95.98,44.0,51.98,C022,True,False,51.98,2024,1,1,Jan,Wednesday,False,2,54.16,47.99,False,High,Winter,63.3,True,False,22.0,9.14
S00077,2024-01-03,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,2,44.99,20,18.0,71.98,30.0,41.98,C027,True,False,41.98,2024,1,1,Jan,Wednesday,False,2,58.32,35.99,False,High,All,66.7,True,True,15.0,8.38
S00078,2024-01-03,Online,Credit Card,P014,Women's Puffer Jacket,Women,Jacket,3,84.99,15,38.25,216.72,96.0,120.72,C053,True,False,120.72,2024,1,1,Jan,Wednesday,False,2,55.7,72.24,False,High,Winter,62.3,True,False,32.0,6.6
S00079,2024-01-03,Physical,Debit Card,P011,Women's Skirt,Women,Skirt,3,39.99,15,18.0,101.97,42.0,59.97,C074,True,False,59.97,2024,1,1,Jan,Wednesday,False,2,58.81,33.99,False,High,Summer,65.0,False,True,14.0,6.19
S00080,2024-01-03,Online,Debit Card,P005,Men's Hoodie,Men,Jacket,1,59.99,10,6.0,53.99,22.0,31.99,C081,True,False,31.99,2024,1,1,Jan,Wednesday,False,2,59.25,53.99,False,High,Winter,63.3,True,False,22.0,4.05
S00081,2024-01-03,Online,PayPal,P020,Unisex Cap,All,Accessories,2,14.99,10,3.0,26.98,8.0,18.98,C010,True,False,18.98,2024,1,1,Jan,Wednesday,False,2,70.35,13.49,False,Very High,All,73.3,True,True,4.0,2.95
S00082,2024-01-03,Physical,Debit Card,P005,Men's Hoodie,Men,Jacket,3,59.99,10,18.0,161.97,66.0,95.97,C011,True,False,95.97,2024,1,1,Jan,Wednesday,False,2,59.25,53.99,False,High,Winter,63.3,True,False,22.0,4.05
S00083,2024-01-03,Physical,Debit Card,P022,Leather Belt,All,Accessories,3,19.99,15,9.0,50.97,18.0,32.97,C113,True,False,32.97,2024,1,1,Jan,Wednesday,False,2,64.69,16.99,False,Very High,All,70.0,True,True,6.0,5.31
S00084,2024-01-03,Online,Mobile Pay,P004,Men's Chino Pants,Men,Pants,1,44.99,20,9.0,35.99,15.0,20.99,C073,True,False,20.99,2024,1,1,Jan,Wednesday,False,2,58.32,35.99,False,High,All,66.7,True,True,15.0,8.38
S00085,2024-01-03,Online,PayPal,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C058,True,False,9.49,2024,1,1,Jan,Wednesday,False,2,70.35,13.49,False,Very High,All,73.3,True,True,4.0,2.95
S00086,2024-01-03,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,2,44.99,10,9.0,80.98,30.0,50.98,C078,True,False,50.98,2024,1,1,Jan,Wednesday,False,2,62.95,40.49,False,Very High,All,66.7,True,True,15.0,3.75
S00087,2024-01-03,Online,Credit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,0,0.0,9.99,2.5,7.49,C091,True,False,7.49,2024,1,1,Jan,Wednesday,False,2,74.97,9.99,False,Very High,All,75.0,True,True,2.5,0.03
S00088,2024-01-03,Online,Credit Card,P018,Kids Jacket,Kids,Jacket,3,44.99,5,6.75,128.22,48.0,80.22,C110,True,False,80.22,2024,1,1,Jan,Wednesday,False,2,62.56,42.74,False,Very High,Winter,64.4,True,False,16.0,1.84
S00089,2024-01-03,Physical,Credit Card,P012,Women's Skinny Jeans,Women,Pants,1,54.99,15,8.25,46.74,20.0,26.74,C166,True,False,26.74,2024,1,1,Jan,Wednesday,False,2,57.21,46.74,False,High,All,63.6,True,True,20.0,6.39
S00090,2024-01-03,Physical,Debit Card,P011,Women's Skirt,Women,Skirt,1,39.99,5,2.0,37.99,14.0,23.99,C125,True,False,23.99,2024,1,1,Jan,Wednesday,False,2,63.15,37.99,False,Very High,Summer,65.0,False,True,14.0,1.85
S00091,2024-01-03,Physical,Cash,P009,Women's Casual Dress,Women,Dress,3,44.99,20,26.99,107.98,48.0,59.98,C123,True,False,59.98,2024,1,1,Jan,Wednesday,False,2,55.55,35.99,False,High,All,64.4,True,True,16.0,8.85
S00092,2024-01-03,Physical,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,2,89.99,15,27.0,152.98,70.0,82.98,C026,True,False,82.98,2024,1,1,Jan,Wednesday,False,2,54.24,76.49,False,High,Winter,61.1,True,False,35.0,6.86
S00093,2024-01-03,Online,PayPal,P021,Unisex Socks (3-pack),All,Accessories,3,9.99,5,1.5,28.47,7.5,20.97,C020,True,True,0.0,2024,1,1,Jan,Wednesday,False,2,0.0,9.49,True,Loss/Break-even,All,75.0,True,True,2.5,75.0
S00094,2024-01-03,Online,Credit Card,P023,Canvas Tote Bag,All,Accessories,1,24.99,15,3.75,21.24,8.0,13.24,C075,True,False,13.24,2024,1,1,Jan,Wednesday,False,2,62.34,21.24,False,Very High,All,68.0,True,True,8.0,5.66
S00095,2024-01-03,Online,Credit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,15,1.5,8.49,2.5,5.99,C198,True,True,0.0,2024,1,1,Jan,Wednesday,False,2,0.0,8.49,True,Loss/Break-even,All,75.0,True,True,2.5,75.0
S00096,2024-01-03,Physical,Debit Card,P012,Women's Skinny Jeans,Women,Pants,2,54.99,20,22.0,87.98,40.0,47.98,C112,True,False,47.98,2024,1,1,Jan,Wednesday,False,2,54.54,43.99,False,High,All,63.6,True,True,20.0,9.06
S00097,2024-01-03,Physical,Credit Card,P014,Women's Puffer Jacket,Women,Jacket,4,84.99,5,17.0,322.96,128.0,194.96,C074,True,False,194.96,2024,1,1,Jan,Wednesday,False,2,60.37,80.74,False,Very High,Winter,62.3,True,False,32.0,1.93
S00098,2024-01-03,Online,Credit Card,P005,Men's Hoodie,Men,Jacket,2,59.99,10,12.0,107.98,44.0,63.98,C029,True,False,63.98,2024,1,1,Jan,Wednesday,False,2,59.25,53.99,False,High,Winter,63.3,True,False,22.0,4.05
S00099,2024-01-03,Online,Debit Card,P004,Men's Chino Pants,Men,Pants,3,44.99,5,6.75,128.22,45.0,83.22,C121,True,False,83.22,2024,1,1,Jan,Wednesday,False,2,64.9,42.74,False,Very High,All,66.7,True,True,15.0,1.8
S00100,2024-01-03,Physical,Mobile Pay,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C081,True,False,45.99,2024,1,1,Jan,Wednesday,False,2,56.78,80.99,False,High,Winter,61.1,True,False,35.0,4.32
S00101,2024-01-03,Physical,Credit Card,P023,Canvas Tote Bag,All,Accessories,1,24.99,10,2.5,22.49,8.0,14.49,C009,True,False,14.49,2024,1,1,Jan,Wednesday,False,2,64.43,22.49,False,Very High,All,68.0,True,True,8.0,3.57
S00102,2024-01-03,Physical,Credit Card,P013,Women's Hoodie,Women,Jacket,3,59.99,5,9.0,170.97,66.0,104.97,C008,True,False,104.97,2024,1,1,Jan,Wednesday,False,2,61.4,56.99,False,Very High,Winter,63.3,True,False,22.0,1.9
S00103,2024-01-03,Online,PayPal,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,15,13.5,76.49,35.0,41.49,C143,True,False,41.49,2024,1,1,Jan,Wednesday,False,2,54.24,76.49,False,High,Winter,61.1,True,False,35.0,6.86
S00104,2024-01-03,Physical,Credit Card,P020,Unisex Cap,All,Accessories,3,14.99,20,8.99,35.98,12.0,23.98,C161,True,False,23.98,2024,1,1,Jan,Wednesday,False,2,66.65,11.99,False,Very High,All,73.3,True,True,4.0,6.65
S00105,2024-01-03,Physical,Cash,P014,Women's Puffer Jacket,Women,Jacket,1,84.99,20,17.0,67.99,32.0,35.99,C104,True,False,35.99,2024,1,1,Jan,Wednesday,False,2,52.93,67.99,False,High,Winter,62.3,True,False,32.0,9.37
