sale_id,date,store_channel,payment_method,product_id,product_name,category,sub_category,quantity_sold,unit_price,discount_pct,discount_amount,total_sale,cost_total,gross_profit,customer_id,is_promotion,is_returned
S00045,2024-01-02,Physical,Mobile Pay,P005,Men's Hoodie,Men,Jacket,1,59.99,15,9.0,50.99,22.0,28.99,C077,True,False
S00046,2024-01-02,Online,Credit Card,P025,Women's Swimsuit,Women,Swimwear,3,44.99,5,2.25,128.22,48.0,80.22,C106,True,False
S00047,2024-01-02,Online,Mobile Pay,P020,Unisex Cap,All,Accessories,3,14.99,5,0.75,42.72,12.0,30.72,C194,True,True
S00048,2024-01-02,Physical,Debit Card,P001,Men's Basic T-shirt,Men,Shirt,2,19.99,10,2.0,35.98,14.0,21.98,C164,True,False
S00049,2024-01-02,Online,Debit Card,P020,Unisex Cap,All,Accessories,5,14.99,10,1.5,67.45,20.0,47.45,C161,True,False
S00050,2024-01-02,Physical,Cash,P005,Men's Hoodie,Men,Jacket,2,59.99,5,3.0,113.98,44.0,69.98,C028,True,False
S00051,2024-01-02,Physical,Debit Card,P005,Men's Hoodie,Men,Jacket,2,59.99,5,3.0,113.98,44.0,69.98,C051,True,False
S00052,2024-01-02,Physical,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,3,54.99,10,5.5,148.47,60.0,88.47,C129,True,False
S00053,2024-01-02,Online,Mobile Pay,P022,Leather Belt,All,Accessories,1,19.99,5,1.0,18.99,6.0,12.99,,True,False
S00054,2024-01-02,Online,PayPal,P013,Women's Hoodie,Women,Jacket,1,59.99,10,6.0,53.99,22.0,31.99,C111,True,False
S00055,2024-01-02,Physical,Credit Card,P023,Canvas Tote Bag,All,Accessories,3,24.99,15,3.75,63.72,24.0,39.72,C021,True,False
S00056,2024-01-02,Online,Credit Card,P009,Women's Casual Dress,Women,Dress,4,44.99,0,0.0,179.96,64.0,115.96,C170,True,False
S00057,2024-01-02,Physical,Mobile Pay,P015,Women's Cardigan,Women,Top,3,49.99,5,2.5,142.47,54.0,88.47,C171,True,False
S00058,2024-01-02,Physical,Mobile Pay,P014,Women's Puffer Jacket,Women,Jacket,2,84.99,15,12.75,144.48,64.0,80.48,C058,True,False
S00059,2024-01-02,Online,Mobile Pay,P006,Men's Puffer Jacket,Men,Jacket,2,89.99,10,9.0,161.98,70.0,91.98,C153,True,False
S00060,2024-01-02,Online,Credit Card,P010,Women's Blouse,Women,Top,3,34.99,10,3.5,94.47,36.0,58.47,C055,True,False
S00061,2024-01-02,Online,Credit Card,P010,Women's Blouse,Women,Top,1,34.99,10,3.5,31.49,12.0,19.49,C182,True,False
S00062,2024-01-02,Online,Debit Card,P022,Leather Belt,All,Accessories,2,19.99,5,1.0,37.98,12.0,25.98,C030,True,False
S00063,2024-01-02,Physical,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,1,54.99,10,5.5,49.49,20.0,29.49,C088,True,False
S00064,2024-01-02,Online,Debit Card,P018,Kids Jacket,Kids,Jacket,2,44.99,10,4.5,80.98,32.0,48.98,C190,True,False
S00065,2024-01-02,Online,Mobile Pay,P004,Men's Chino Pants,men,Pants,1,44.99,10,4.5,40.49,15.0,25.49,C045,True,False
S00066,2024-01-02,Online,Credit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,10,6.0,107.98,44.0,63.98,,True,False
S00067,2024-01-02,Physical,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,4,89.99,15,13.5,305.96,140.0,165.96,C070,True,False
S00068,2024-01-02,Online,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,5,4.5,85.49,35.0,50.49,C006,True,False
S00069,2024-01-02,Physical,Credit Card,P020,Unisex Cap,All,Accessories,3,14.99,20,3.0,35.97,12.0,23.97,C011,True,False
S00070,2024-01-02,Physical,Credit Card,P012,Women's Skinny Jeans,Women,Pants,1,54.99,5,2.75,52.24,20.0,32.24,C101,True,False
S00071,2024-01-02,Online,Credit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,5,3.0,113.98,44.0,69.98,C048,True,False
S00072,2024-01-02,Physical,Debit Card,P012,Women's Skinny Jeans,Women,Pants,1,54.99,15,8.25,46.74,20.0,26.74,C199,True,False
S00073,2024-01-02,Physical,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,1,54.99,20,11.0,43.99,20.0,23.99,C075,True,False
S00074,2024-01-02,Online,Mobile Pay,P005,Men's Hoodie,Men,Jacket,1,59.99,10,6.0,53.99,22.0,31.99,C006,True,False
S00075,2024-01-03,Physical,Credit Card,P014,Women's Puffer Jacket,Women,Jacket,3,84.99,10,8.5,229.47,96.0,133.47,C002,True,False
S00076,2024-01-03,Online,Debit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,20,12.0,95.98,44.0,51.98,C022,True,False
S00077,2024-01-03,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,2,44.99,20,9.0,71.98,30.0,41.98,C027,True,False
S00078,2024-01-03,Online,Credit Card,P014,Women's Puffer Jacket,Women,Jacket,3,84.99,15,12.75,216.72,96.0,120.72,C053,True,False
S00079,2024-01-03,Physical,Debit Card,P011,Women's Skirt,Women,Skirt,3,39.99,15,6.0,101.97,42.0,59.97,C074,True,False
S00080,2024-01-03,Online,Debit Card,P005,Men's Hoodie,Men,Jacket,1,59.99,10,6.0,53.99,22.0,31.99,C081,True,False
S00081,2024-01-03,Online,PayPal,P020,Unisex Cap,All,Accessories,2,14.99,10,1.5,26.98,8.0,18.98,C010,True,False
S00082,2024-01-03,Physical,Debit Card,P005,Men's Hoodie,Men,Jacket,3,59.99,10,6.0,161.97,66.0,95.97,C011,True,False
S00083,2024-01-03,Physical,Debit Card,P022,Leather Belt,All,Accessories,3,19.99,15,3.0,50.97,18.0,32.97,C113,True,False
S00084,2024-01-03,Online,Mobile Pay,P004,Men's Chino Pants,Men,Pants,1,44.99,20,9.0,35.99,15.0,20.99,C073,True,False
S00085,2024-01-03,Online,PayPal,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C058,True,False
S00086,2024-01-03,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,2,44.99,10,4.5,80.98,30.0,50.98,C078,True,False
S00087,2024-01-03,Online,Credit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,0,0.0,9.99,2.5,7.49,C091,True,False
S00088,2024-01-03,Online,Credit Card,P018,Kids Jacket,Kids,Jacket,3,44.99,5,2.25,128.22,48.0,80.22,C110,True,False
S00089,2024-01-03,Physical,Credit Card,P012,Women's Skinny Jeans,Women,Pants,1,54.99,15,8.25,46.74,20.0,26.74,C166,True,False
S00090,2024-01-03,Physical,Debit Card,P011,Women's Skirt,Women,Skirt,1,39.99,5,2.0,37.99,14.0,23.99,C125,True,False
S00091,2024-01-03,Physical,Cash,P009,Women's Casual Dress,Women,Dress,3,44.99,20,9.0,107.97,48.0,59.97,C123,True,False
S00092,2024-01-03,Physical,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,2,89.99,15,13.5,152.98,70.0,82.98,C026,True,False
S00093,2024-01-03,Online,PayPal,P021,Unisex Socks (3-pack),All,Accessories,3,9.99,5,0.5,28.47,7.5,20.97,C020,True,True
S00094,2024-01-03,Online,Credit Card,P023,Canvas Tote Bag,All,Accessories,1,24.99,15,3.75,21.24,8.0,13.24,C075,True,False
S00095,2024-01-03,Online,Credit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,15,1.5,8.49,2.5,5.99,C198,True,True
S00096,2024-01-03,Physical,Debit Card,P012,Women's Skinny Jeans,Women,Pants,2,54.99,20,11.0,87.98,40.0,47.98,C112,True,False
S00097,2024-01-03,Physical,Credit Card,P014,Women's Puffer Jacket,Women,Jacket,4,84.99,5,4.25,322.96,128.0,194.96,C074,True,False
S00098,2024-01-03,Online,Credit Card,P005,Men's Hoodie,Men,Jacket,2,59.99,10,6.0,107.98,44.0,63.98,C029,True,False
S00099,2024-01-03,Online,Debit Card,P004,Men's Chino Pants,Men,Pants,3,44.99,5,2.25,128.22,45.0,83.22,C121,True,False
S00100,2024-01-03,Physical,Mobile Pay,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C081,True,False
S00101,2024-01-03,Physical,Credit Card,P023,Canvas Tote Bag,All,Accessories,1,24.99,10,2.5,22.49,8.0,14.49,C009,True,False
S00102,2024-01-03,Physical,Credit Card,P013,Women's Hoodie,Women,Jacket,3,59.99,5,3.0,170.97,66.0,104.97,C008,True,False
S00103,2024-01-03,Online,PayPal,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,15,13.5,76.49,35.0,41.49,C143,True,False
S00104,2024-01-03,Physical,Credit Card,P020,Unisex Cap,All,Accessories,3,14.99,20,3.0,35.97,12.0,23.97,C161,True,False
S00105,2024-01-03,Physical,Cash,P014,Women's Puffer Jacket,Women,Jacket,1,84.99,20,17.0,67.99,32.0,35.99,C104,True,False
S00106,2024-01-03,Online,Mobile Pay,P021,Unisex Socks (3-pack),all,Accessories,2,9.99,15,1.5,16.98,5.0,11.98,C030,True,False
S00107,2024-01-03,Physical,Mobile Pay,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,10,1.0,8.99,2.5,6.49,C179,True,False
S00108,2024-01-03,Physical,Credit Card,P022,Leather Belt,All,Accessories,3,19.99,5,1.0,56.97,18.0,38.97,C028,True,False
S00109,2024-01-03,Physical,Mobile Pay,P014,Women's Puffer Jacket,Women,Jacket,2,84.99,15,12.75,144.48,64.0,80.48,C187,True,False
S00110,2024-01-03,Online,Debit Card,P008,Women's Floral Dress,Women,Dress,1,54.99,10,5.5,49.49,20.0,29.49,C064,True,False
S00111,2024-01-03,Physical,Credit Card,P004,Men's Chino Pants,Men,Pants,1,44.99,5,2.25,42.74,15.0,27.74,C079,True,False
S00112,2024-01-03,Physical,Mobile Pay,P014,Women's Puffer Jacket,Women,Jacket,2,84.99,10,8.5,152.98,64.0,88.98,C124,True,False
S00113,2024-01-03,Physical,Debit Card,P014,Women's Puffer Jacket,Women,Jacket,2,84.99,5,4.25,161.48,64.0,97.48,C169,True,False
S00114,2024-01-03,Physical,Mobile Pay,P023,Canvas Tote Bag,All,Accessories,1,24.99,15,3.75,21.24,8.0,13.24,C119,True,False
S00115,2024-01-03,Physical,Mobile Pay,P009,Women's Casual Dress,Women,Dress,3,44.99,15,6.75,114.72,48.0,66.72,C102,True,False
S00116,2024-01-03,Online,Mobile Pay,P025,Women's Swimsuit,Women,Swimwear,1,44.99,5,2.25,42.74,16.0,26.74,C102,True,False
S00117,2024-01-04,Online,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,15,1.5,8.49,2.5,5.99,C093,True,False
S00118,2024-01-04,Online,Credit Card,P012,Women's Skinny Jeans,Women,Pants,3,54.99,10,5.5,148.47,60.0,88.47,C144,True,False
S00119,2024-01-04,Online,Credit Card,P009,Women's Casual Dress,Women,Dress,1,44.99,10,4.5,40.49,16.0,24.49,C085,True,False
S00120,2024-01-04,Physical,Debit Card,P020,Unisex Cap,All,Accessories,1,14.99,5,0.75,14.24,4.0,10.24,C076,True,False
S00121,2024-01-04,Physical,Credit Card,P003,Men's Slim Jeans,Men,Pants,3,49.99,5,2.5,142.47,54.0,88.47,C046,True,False
S00122,2024-01-04,Physical,Credit Card,P005,Men's Hoodie,Men,Jacket,2,59.99,10,6.0,107.98,44.0,63.98,C093,True,False
S00123,2024-01-04,Online,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C032,True,False
S00124,2024-01-04,Online,Debit Card,P015,Women's Cardigan,Women,Top,1,49.99,5,2.5,47.49,18.0,29.49,C038,True,False
S00125,2024-01-04,Physical,Mobile Pay,P003,Men's Slim Jeans,Men,Pants,2,49.99,20,10.0,79.98,36.0,43.98,C176,True,False
S00126,2024-01-04,Online,PayPal,P003,Men's Slim Jeans,Men,Pants,2,49.99,15,7.5,84.98,36.0,48.98,C154,True,False
S00127,2024-01-04,Physical,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,5,0.75,14.24,4.0,10.24,C007,True,False
S00128,2024-01-04,Online,Debit Card,P017,Kids Jeans,Kids,Pants,1,29.99,10,3.0,26.99,10.0,16.99,C133,True,False
S00129,2024-01-04,Physical,Credit Card,P020,Unisex Cap,All,Accessories,2,14.99,10,1.5,26.98,8.0,18.98,C123,True,True
S00130,2024-01-04,Online,Debit Card,P022,Leather Belt,All,Accessories,2,19.99,0,0.0,39.98,12.0,27.98,C188,True,False
S00131,2024-01-04,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,1,44.99,5,2.25,42.74,15.0,27.74,C178,True,False
S00132,2024-01-04,Physical,Cash,P023,Canvas Tote Bag,All,Accessories,1,24.99,15,3.75,21.24,8.0,13.24,C049,True,False
S00133,2024-01-04,Physical,Debit Card,P006,Men's Puffer Jacket,Men,Jacket,2,89.99,10,9.0,161.98,70.0,91.98,C014,True,False
S00134,2024-01-04,Physical,Cash,P022,Leather Belt,All,Accessories,3,19.99,20,4.0,47.97,18.0,29.97,C119,True,False
S00135,2024-01-04,Physical,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,0,0.0,9.99,2.5,7.49,C090,True,False
S00136,2024-01-04,Physical,Debit Card,P010,Women's Blouse,Women,Top,1,34.99,10,3.5,31.49,12.0,19.49,C135,True,False
S00137,2024-01-04,Physical,Debit Card,P023,Canvas Tote Bag,All,Accessories,2,24.99,0,0.0,49.98,16.0,33.98,C175,True,True
S00138,2024-01-04,Physical,Cash,P020,Unisex Cap,All,Accessories,1,14.99,5,0.75,14.24,4.0,10.24,C049,True,False
S00139,2024-01-04,Physical,Credit Card,P023,Canvas Tote Bag,All,Accessories,1,24.99,20,5.0,19.99,8.0,11.99,C009,True,False
S00140,2024-01-04,Physical,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,1,54.99,15,8.25,46.74,20.0,26.74,C088,True,False
S00141,2024-01-04,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,3,44.99,5,2.25,128.22,45.0,83.22,C108,True,False
S00142,2024-01-04,Physical,Debit Card,P018,Kids Jacket,Kids,Jacket,1,44.99,10,4.5,40.49,16.0,24.49,C151,True,False
S00143,2024-01-04,Online,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,15,2.25,12.74,4.0,8.74,C156,True,False
S00144,2024-01-04,Physical,,P023,Canvas Tote Bag,All,Accessories,3,24.99,20,5.0,59.97,24.0,35.97,C029,True,False
S00145,2024-01-04,Online,Credit Card,P010,Women's Blouse,Women,Top,1,34.99,20,7.0,27.99,12.0,15.99,C199,True,False
S00146,2024-01-04,Physical,Credit Card,P018,Kids Jacket,Kids,Jacket,1,44.99,15,6.75,38.24,16.0,22.24,C047,True,False
S00147,2024-01-04,Physical,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,2,9.99,20,2.0,15.98,5.0,10.98,C184,True,False
S00148,2024-01-04,Physical,Cash,P022,Leather Belt,All,Accessories,2,19.99,10,2.0,35.98,12.0,23.98,C116,True,False
S00149,2024-01-04,Physical,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,15,2.25,12.74,4.0,8.74,C116,True,False
S00150,2024-01-04,Online,PayPal,P009,Women's Casual Dress,Women,Dress,3,44.99,15,6.75,114.72,48.0,66.72,C155,True,False
S00151,2024-01-05,Physical,Debit Card,P014,Women's Puffer Jacket,Women,Jacket,1,84.99,10,8.5,76.49,32.0,44.49,C055,True,False
S00152,2024-01-05,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,1,44.99,10,4.5,40.49,15.0,25.49,C199,True,False
S00153,2024-01-05,Online,Mobile Pay,P012,Women's Skinny Jeans,Women,Pants,3,54.99,10,5.5,148.47,60.0,88.47,C099,True,False
S00154,2024-01-05,Online,Credit Card,P005,Men's Hoodie,Men,Jacket,2,59.99,15,9.0,101.98,44.0,57.98,C072,True,False
S00155,2024-01-05,Online,PayPal,P023,Canvas Tote Bag,All,Accessories,1,24.99,10,2.5,22.49,8.0,14.49,C189,True,False
S00156,2024-01-05,Physical,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C087,True,False
S00157,2024-01-05,Online,Debit Card,P005,Men's Hoodie,Men,Jacket,1,59.99,10,6.0,53.99,22.0,31.99,C136,True,False
S00158,2024-01-05,Online,Credit Card,P015,Women's Cardigan,Women,Top,3,49.99,10,5.0,134.97,54.0,80.97,C133,True,False
S00159,2024-01-05,Physical,Debit Card,P020,Unisex Cap,All,Accessories,2,14.99,15,2.25,25.48,8.0,17.48,C018,True,False
S00160,2024-01-05,Online,Credit Card,P011,Women's Skirt,Women,Skirt,2,39.99,15,6.0,67.98,28.0,39.98,C124,True,False
S00161,2024-01-05,Online,Mobile Pay,P014,Women's Puffer Jacket,Women,Jacket,1,84.99,10,8.5,76.49,32.0,44.49,C160,True,False
S00162,2024-01-05,Physical,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,15,1.5,8.49,2.5,5.99,C143,True,False
S00163,2024-01-05,Online,Credit Card,P021,Unisex Socks (3-pack),All,Accessories,2,9.99,10,1.0,17.98,5.0,12.98,C017,True,False
S00164,2024-01-05,Online,Credit Card,P020,Unisex Cap,All,Accessories,2,14.99,15,2.25,25.48,8.0,17.48,C031,True,True
S00165,2024-01-05,Online,Debit Card,P004,Men's Chino Pants,Men,Pants,1,44.99,10,4.5,40.49,15.0,25.49,C143,True,False
S00166,2024-01-05,Physical,Credit Card,P005,Men's Hoodie,Men,Jacket,4,59.99,10,6.0,215.96,88.0,127.96,C127,True,True
S00167,2024-01-05,Physical,Mobile Pay,P009,Women's Casual Dress,Women,Dress,1,44.99,20,9.0,35.99,16.0,19.99,C148,True,False
S00168,2024-01-05,Physical,Debit Card,P012,Women's Skinny Jeans,Women,Pants,1,54.99,5,2.75,52.24,20.0,32.24,C064,True,False
S00169,2024-01-05,Online,Credit Card,P020,Unisex Cap,All,Accessories,2,14.99,10,1.5,26.98,8.0,18.98,C022,True,False
S00170,2024-01-05,Online,Credit Card,P017,Kids Jeans,Kids,Pants,3,29.99,5,1.5,85.47,30.0,55.47,C002,True,False
S00171,2024-01-05,Physical,Debit Card,P003,Men's Slim Jeans,Men,Pants,2,49.99,20,10.0,79.98,36.0,43.98,C062,True,False
S00172,2024-01-05,Online,Credit Card,P018,Kids Jacket,Kids,Jacket,1,44.99,0,0.0,44.99,16.0,28.99,C072,True,False
S00173,2024-01-05,Online,Mobile Pay,P005,Men's Hoodie,Men,Jacket,2,59.99,5,3.0,113.98,44.0,69.98,C054,True,False
S00174,2024-01-05,Physical,Debit Card,P002,Men's Premium T-shirt,Men,Shirt,3,29.99,5,1.5,85.47,33.0,52.47,C027,True,False
S00175,2024-01-05,Online,Debit Card,P022,Leather Belt,All,Accessories,1,19.99,10,2.0,17.99,6.0,11.99,C038,True,False
S00176,2024-01-05,Online,Mobile Pay,P005,Men's Hoodie,Men,Jacket,2,59.99,10,6.0,107.98,44.0,63.98,C090,True,False
S00177,2024-01-05,Physical,Credit Card,P015,Women's Cardigan,Women,Top,1,49.99,5,2.5,47.49,18.0,29.49,C111,True,False
S00178,2024-01-05,Physical,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C082,True,False
S00179,2024-01-05,Online,Debit Card,P017,Kids Jeans,Kids,Pants,2,29.99,10,3.0,53.98,20.0,33.98,C006,True,False
S00180,2024-01-05,Physical,Credit Card,P002,Men's Premium T-shirt,Men,Shirt,1,29.99,10,3.0,26.99,11.0,15.99,C071,True,True
S00181,2024-01-05,Physical,Debit Card,P002,Men's Premium T-shirt,Men,Shirt,2,29.99,20,6.0,47.98,22.0,25.98,C019,True,False
S00182,2024-01-05,Physical,Credit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,10,6.0,107.98,44.0,63.98,C120,True,False
S00183,2024-01-05,Physical,Debit Card,P012,Women's Skinny Jeans,Women,Pants,2,54.99,10,5.5,98.98,40.0,58.98,C065,True,False
S00184,2024-01-05,Physical,Cash,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,5,0.5,9.49,2.5,6.99,C078,True,False
S00185,2024-01-05,Online,Debit Card,P013,Women's Hoodie,Women,Jacket,2,59.99,0,0.0,119.98,44.0,75.98,C059,True,False
S00186,2024-01-05,Physical,Mobile Pay,P002,Men's Premium T-shirt,Men,Shirt,2,29.99,15,4.5,50.98,22.0,28.98,C078,True,False
S00187,2024-01-05,Online,Mobile Pay,P013,Women's Hoodie,women,Jacket,2,59.99,10,6.0,107.98,44.0,63.98,C017,True,False
S00188,2024-01-05,Online,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,3,9.99,10,1.0,26.97,7.5,19.47,C181,True,False
S00189,2024-01-05,Physical,Credit Card,P009,Women's Casual Dress,women,Dress,1,44.99,5,2.25,42.74,16.0,26.74,C182,True,False
S00190,2024-01-05,Physical,Credit Card,P015,Women's Cardigan,Women,Top,2,49.99,15,7.5,84.98,36.0,48.98,C196,True,False
S00191,2024-01-05,Online,Mobile Pay,P025,Women's Swimsuit,Women,Swimwear,2,44.99,5,2.25,85.48,32.0,53.48,C115,True,False
